iter	Passed	Remaining
0	1	137
1	2	135
2	4	136
3	5	128
4	6	125
5	7	122
6	9	121
7	10	120
8	11	118
9	12	116
10	14	113
11	15	111
12	16	109
13	17	109
14	19	108
15	20	108
16	21	106
17	23	105
18	24	103
19	25	102
20	26	100
21	27	99
22	29	97
23	30	95
24	31	94
25	32	93
26	34	92
27	35	91
28	36	90
29	37	88
30	39	87
31	40	85
32	41	84
33	42	82
34	43	81
35	44	79
36	46	78
37	47	77
38	48	76
39	50	75
40	52	74
41	52	72
42	53	71
43	54	69
44	56	68
45	57	67
46	58	66
47	59	64
48	60	63
49	62	62
50	63	61
51	65	60
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	50
59	74	49
60	75	48
61	77	47
62	78	46
63	80	45
64	81	44
65	83	42
66	85	41
67	86	40
68	88	39
69	89	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	101	27
79	102	25
80	104	24
81	105	23
82	106	21
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	114	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	123	5
96	125	3
97	126	2
98	128	1
99	129	0
